(14,) 0.0
(25,) 0.0
(27,) 0.0
(33,) 0.0
(34,) 0.0
(39,) 0.0
(36,) 0.0
(41,) 0.0
(38,) 0.0
(40,) 0.0
(14, 25, 39, 36, 41, 38) 0.0
(14, 25, 39, 36, 41, 40) 0.0
(14, 25, 39, 36, 38, 40) 0.0
(14, 25, 39, 41, 38, 40) 0.0
(14, 25, 36, 41, 38, 40) 0.0
(14, 27, 33, 34, 39, 36) 0.0
(14, 27, 33, 34, 39, 41) 0.0
(14, 27, 33, 34, 39, 38) 0.0
(14, 27, 33, 34, 39, 40) 0.0
(14, 27, 33, 34, 36, 41) 0.0
(14, 27, 33, 34, 36, 38) 0.0
(14, 27, 33, 34, 36, 40) 0.0
(14, 27, 33, 34, 41, 38) 0.0
(14, 27, 33, 34, 41, 40) 0.0
(14, 27, 33, 34, 38, 40) 0.0
(14, 27, 33, 39, 36, 41) 0.0
(14, 27, 33, 39, 36, 38) 0.0
(14, 27, 33, 39, 36, 40) 0.0
(14, 27, 33, 39, 41, 38) 0.0
(14, 27, 33, 39, 41, 40) 0.0
(14, 27, 33, 39, 38, 40) 0.0
(14, 27, 33, 36, 41, 38) 0.0
(14, 27, 33, 36, 41, 40) 0.0
(14, 27, 33, 36, 38, 40) 0.0
(14, 27, 33, 41, 38, 40) 0.0
(14, 27, 34, 39, 36, 41) 0.0
(14, 27, 34, 39, 36, 38) 0.0
(14, 27, 34, 39, 36, 40) 0.0
(14, 27, 34, 39, 41, 38) 0.0
(14, 27, 34, 39, 41, 40) 0.0
(14, 27, 34, 39, 38, 40) 0.0
(14, 27, 34, 36, 41, 38) 0.0
(14, 27, 34, 36, 41, 40) 0.0
(14, 27, 34, 36, 38, 40) 0.0
(14, 27, 34, 41, 38, 40) 0.0
(14, 27, 39, 36, 41, 38) 0.0
(14, 27, 39, 36, 41, 40) 0.0
(14, 27, 39, 36, 38, 40) 0.0
(14, 27, 39, 41, 38, 40) 0.0
(14, 27, 36, 41, 38, 40) 0.0
(14, 33, 34, 39, 36, 41) 0.0
(14, 33, 34, 39, 36, 38) 0.0
(14, 33, 34, 39, 36, 40) 0.0
(14, 33, 34, 39, 41, 38) 0.0
(14, 33, 34, 39, 41, 40) 0.0
(14, 33, 34, 39, 38, 40) 0.0
(14, 33, 34, 36, 41, 38) 0.0
(14, 33, 34, 36, 41, 40) 0.0
(14, 33, 34, 36, 38, 40) 0.0
(14, 33, 34, 41, 38, 40) 0.0
(14, 33, 39, 36, 41, 38) 0.0
(14, 33, 39, 36, 41, 40) 0.0
(14, 33, 39, 36, 38, 40) 0.0
(14, 33, 39, 41, 38, 40) 0.0
(14, 33, 36, 41, 38, 40) 0.0
(14, 34, 39, 36, 41, 38) 0.0
(14, 34, 39, 36, 41, 40) 0.0
(14, 34, 39, 36, 38, 40) 0.0
(14, 34, 39, 41, 38, 40) 0.0
(14, 34, 36, 41, 38, 40) 0.0
(14, 39, 36, 41, 38, 40) 0.0
(25, 27, 33, 34, 39, 36) 0.0
(25, 27, 33, 34, 39, 41) 0.0
